name,age,season,Notes
Sean Marks,36,11,96.0
Brian Cardinal,36,12,60.0
Theo Ratliff,38,15,54.0
Eduardo Najera,36,12,42.0
Corey Maggette,34,14,42.0
Mike Miller,38,17,42.0
Malik Allen,36,10,42.0
Grant Hill,40,16,42.0
Laron Profit,35,4,42.0
Antonio McDyess,37,14,36.0
Al Harrington,35,16,36.0
Keyon Dooling,34,13,36.0
Metta World Peace,37,17,36.0
Allen Iverson,38,14,30.0
Shaquille O'Neal,39,15,30.0
Primoz Brezec,37,8,30.0
Chauncey Billups,37,17,30.0
Anthony Carter,38,13,30.0
Zydrunas Ilgauskas,36,13,24.0
Kobe Bryant,37,20,24.0
Nazr Mohammed,39,18,24.0
James Posey,36,12,24.0
Julius Hodge,31,2,24.0
DeSagana Diop,32,12,24.0
Kevin Ollie,37,13,24.0
Joel Przybilla,34,13,24.0
Derek Fisher,39,18,24.0
Dorell Wright,34,11,24.0
Quentin Richardson,34,13,24.0
Zach Randolph,38,17,24.0
Bostjan Nachbar,37,6,24.0
Stephen Jackson,37,14,24.0
Trajan Langdon,35,3,24.0
Melvin Ely,38,9,24.0
Vladimir Stepania,32,6,24.0
Royal Ivey,32,10,24.0
Anthony Parker,37,9,24.0
Juwan Howard,40,17,18.0
Andrei Kirilenko,34,13,18.0
Yaroslav Korolev,29,2,18.0
Jerry Stackhouse,38,17,18.0
James Jones,36,14,18.0
Jason Kidd,40,17,18.0
Jeff Foster,35,13,18.0
Shaun Livingston,34,14,18.0
Matt Barnes,37,14,18.0
Leandro Barbosa,37,14,18.0
Brad Miller,36,14,18.0
Richard Hamilton,37,14,18.0
Ronald Dupree,33,6,18.0
Jason Collins,35,13,18.0
Luke Jackson,31,4,18.0
Charlie Bell,37,7,18.0
Robert Traylor,34,7,18.0
Dee Brown,31,8,18.0
Raul Lopez,36,2,18.0
Steve Francis,33,9,18.0
Travis Diener,32,5,18.0
T.J. Ford,28,8,18.0
Jarron Collins,32,10,18.0
Steve Blake,37,13,18.0
Manu Ginobili,41,16,18.0
Brian Scalabrine,34,11,18.0
Vince Carter,43,22,18.0
Tim Duncan,40,19,18.0
Jason Williams,35,12,18.0
Dan Dickau,33,6,18.0
Rasho Nesterovic,35,12,12.0
Paul Pierce,39,19,12.0
Hedo Turkoglu,36,15,12.0
Elton Brand,37,17,12.0
Ray Allen,41,18,12.0
Dwyane Wade,37,16,12.0
Antawn Jamison,38,16,12.0
Peja Stojakovic,34,13,12.0
Tony Battie,37,14,12.0
Michael Redd,34,12,12.0
Earl Barron,36,8,12.0
Eddy Curry,30,11,12.0
Josh Howard,36,10,12.0
David Lee,34,12,12.0
David West,38,15,12.0
Willie Green,35,12,12.0
Carlos Boozer,36,13,12.0
Adonal Foyle,35,12,12.0
Amar'e Stoudemire,33,14,12.0
Caron Butler,37,14,12.0
Luol Deng,34,15,12.0
Tracy McGrady,34,15,12.0
Chris Duhon,31,9,6.0
Jared Jeffries,31,11,6.0
Martell Webster,30,10,6.0
Sean May,31,4,6.0
Greg Ostertag,38,10,6.0
Luke Walton,33,10,6.0
Jiri Welsch,38,4,6.0
Mehmet Okur,33,10,6.0
Shawn Marion,37,16,6.0
Dirk Nowitzki,40,21,6.0
Kevin Garnett,40,20,6.0
Antoine Walker,35,12,6.0
Tony Parker,37,18,6.0
Kris Humphries,34,13,6.0
Richard Jefferson,38,17,6.0
DeShawn Stevenson,35,13,6.0
Earl Watson,35,13,6.0
Nick Collison,37,14,6.0
Al Jefferson,34,14,6.0
Travis Hansen,33,1,6.0
