name,age,season,Notes,position
Sean Marks,36,11,96.0,0
Brian Cardinal,36,12,60.0,0
Theo Ratliff,38,15,54.0,0
Grant Hill,40,16,42.0,0
Malik Allen,36,10,42.0,0
Laron Profit,35,4,42.0,0
Corey Maggette,34,14,42.0,0
Eduardo Najera,35,12,42.0,0
Mike Miller,38,17,42.0,0
Antonio McDyess,37,14,36.0,0
Metta World Peace,37,17,36.0,0
Al Harrington,35,16,36.0,0
Keyon Dooling,34,13,36.0,0
Allen Iverson,38,14,30.0,0
Chauncey Billups,37,17,30.0,0
Primoz Brezec,36,8,30.0,0
Shaquille O'Neal,39,15,30.0,0
Anthony Carter,38,13,30.0,0
DeSagana Diop,32,12,24.0,0
James Posey,36,12,24.0,0
Kevin Ollie,37,13,24.0,0
Stephen Jackson,37,14,24.0,0
Joel Przybilla,34,13,24.0,0
Julius Hodge,31,2,24.0,0
Dorell Wright,34,11,24.0,0
Quentin Richardson,34,13,24.0,0
Royal Ivey,32,10,24.0,0
Derek Fisher,39,18,24.0,0
Zydrunas Ilgauskas,40,13,24.0,0
Zach Randolph,38,17,24.0,0
Bostjan Nachbar,30,6,24.0,0
Trajan Langdon,35,3,24.0,0
Anthony Parker,37,9,24.0,0
Vladimir Stepania,36,6,24.0,0
Melvin Ely,38,9,24.0,0
Nazr Mohammed,39,18,24.0,0
Raul Lopez,32,2,18.0,0
T.J. Ford,43,8,18.0,0
Shaun Livingston,34,14,18.0,0
Matt Barnes,37,14,18.0,0
Andrei Kirilenko,34,13,18.0,0
Brad Miller,36,14,18.0,0
Tim Duncan,40,19,18.0,0
Jerry Stackhouse,38,17,18.0,0
Leandro Barbosa,37,14,18.0,0
Juwan Howard,40,17,18.0,0
Richard Hamilton,37,14,18.0,0
James Jones,36,14,18.0,0
Jason Kidd,40,17,18.0,0
Jeff Foster,35,13,18.0,0
Manu Ginobili,37,16,18.0,0
Jarron Collins,32,10,18.0,0
Jason Williams,35,12,18.0,0
Dee Brown,31,8,18.0,0
Robert Traylor,34,7,18.0,0
Steve Francis,33,9,18.0,0
Charlie Bell,37,7,18.0,0
Dan Dickau,33,6,18.0,0
Jason Collins,35,13,18.0,0
Ronald Dupree,33,6,18.0,0
Brian Scalabrine,34,11,18.0,0
Travis Diener,32,5,18.0,0
Steve Blake,37,13,18.0,0
Yaroslav Korolev,29,2,18.0,0
Luke Jackson,31,4,18.0,0
Willie Green,35,12,12.0,0
Antawn Jamison,38,16,12.0,0
Earl Barron,36,8,12.0,0
Tony Battie,37,14,12.0,0
Paul Pierce,39,19,12.0,0
Rasho Nesterovic,37,12,12.0,0
Carlos Boozer,36,13,12.0,0
Peja Stojakovic,40,13,12.0,0
Amar'e Stoudemire,33,14,12.0,0
Elton Brand,37,17,12.0,0
Josh Howard,36,10,12.0,0
Dwyane Wade,37,16,12.0,0
Caron Butler,37,14,12.0,0
David West,38,15,12.0,0
Eddy Curry,30,11,12.0,0
Tracy McGrady,34,15,12.0,0
Luol Deng,34,15,12.0,0
Adonal Foyle,35,12,12.0,0
David Lee,34,12,12.0,0
Michael Redd,34,12,12.0,0
Hedo Turkoglu,28,15,12.0,0
Ray Allen,41,18,12.0,0
Sean May,31,4,6.0,0
Tony Parker,37,18,6.0,0
Jiri Welsch,36,4,6.0,0
Earl Watson,35,13,6.0,0
Richard Jefferson,38,17,6.0,0
Chris Duhon,31,9,6.0,0
Mehmet Okur,33,10,6.0,0
Martell Webster,30,10,6.0,0
Greg Ostertag,38,10,6.0,0
Luke Walton,33,10,6.0,0
Shawn Marion,37,16,6.0,0
Jared Jeffries,31,11,6.0,0
Antoine Walker,35,12,6.0,0
Al Jefferson,34,14,6.0,0
Kris Humphries,34,13,6.0,0
Nick Collison,37,14,6.0,0
DeShawn Stevenson,35,13,6.0,0
Travis Hansen,33,1,6.0,0
