name,age,year
Kevin Ollie,37,2010
Rasheed Wallace,34,2010
Adonal Foyle,35,2010
Fabricio Oberto,35,2010
Steve Francis,33,2010
Robert Traylor,34,2010
Jason Williams,35,2011
Jarron Collins,32,2011
Shaquille O'Neal,39,2011
Trajan Langdon,35,2011
Yao Ming,30,2011
Radoslav Nesterović,35,2011
Travis Hansen,33,2011
Žydrūnas Ilgauskas,36,2011
Dan Dickau,33,2011
Brandon Roy,27,2011
Sean Marks,36,2011
Peja Stojaković,34,2011
Antonio McDyess,37,2011
Theo Ratliff,38,2011
Greg Ostertag,38,2011
T. J. Ford,28,2011
Jeff Foster,35,2011
Antoine Walker,35,2011
Anthony Parker,37,2012
Eduardo Nájera,36,2012
Ime Udoka,35,2012
Laron Profit,35,2012
Brian Scalabrine,34,2012
Brad Miller,36,2012
Keyon Dooling,32,2012
Mehmet Okur,33,2012
Brian Cardinal,36,2012
Luke Jackson,31,2012
Tony Battie,37,2012
Jerry Stackhouse,38,2012
Rasheed Wallace,38,2012
Eddy Curry,30,2013
Grant Hill,40,2013
Jason Kidd,40,2013
Brandon Roy,28,2013
Adam Morrison,29,2013
Tracy McGrady,34,2013
Jared Jeffries,31,2013
James Posey,36,2013
Juwan Howard,40,2013
Anthony Carter,38,2013
Vladimir Radmanović,32,2013
Chris Quinn,30,2013
Allen Iverson,38,2013
Luke Walton,33,2013
Michael Redd,34,2013
Rob Kurz,28,2013
Keyon Dooling,34,2013
Raja Bell,37,2013
Chris Duhon,31,2013
Travis Diener,32,2014
Derek Fisher,39,2014
Shane Battier,35,2014
Quentin Richardson,34,2014
Malik Allen,36,2014
Joel Przybilla,34,2014
Chauncey Billups,37,2014
Ronald Dupree,33,2014
Darko Miličić,29,2014
Royal Ivey,32,2014
Earl Watson,35,2014
Antawn Jamison,38,2014
Corey Maggette,34,2014
DeSagana Diop,32,2014
Jason Collins,35,2014
Larry Sanders,26,2014
Richard Hamilton,37,2014
Al Harrington,35,2014
Steve Nash,41,2014
Julius Hodge,31,2015
Darius Songaila,37,2015
Shawn Marion,37,2015
Aaron Gray,30,2015
Andrei Kirilenko,34,2015
Kenyon Martin,37,2015
Stephen Jackson,37,2015
Kelenna Azubuike,31,2015
Elton Brand,36,2015
Coby Karl,32,2015
Dee Brown,31,2015
Jason Richardson,34,2015
Matt Walsh,32,2015
Daniel Gibson,29,2015
Nazr Mohammed,38,2015
Pops Mensah-Bonsu,32,2015
Stephen Graham,33,2015
Sean May,31,2015
Hedo Türkoğlu,36,2015
Kosta Perović,30,2015
Nolan Smith,27,2015
Kobe Bryant,37,2015
Raül López,36,2016
Mario West,31,2016
Luke Ridnour,35,2016
Paul Davis,31,2016
Tim Duncan,40,2016
Sasha Kaun,31,2016
Amar'e Stoudemire,33,2016
Josh Howard,36,2016
Willie Green,35,2016
Ryan Gomes,33,2016
Chuck Hayes,33,2016
Landry Fields,28,2016
Kevin Garnett,40,2016
Melvin Ely,38,2016
Elton Brand,37,2016
Ronny Turiaf,33,2016
Greg Oden,28,2016
Ray Allen,41,2016
Charlie Bell,37,2016
Kevin Martin,33,2016
Yaroslav Korolev,29,2016
DeShawn Stevenson,35,2016
Matt Bonner,36,2016
Pablo Prigioni,39,2016
Andrés Nocioni,37,2017
Paul Pierce,39,2017
James Jones,36,2017
Jason Maxiell,34,2017
Tayshaun Prince,37,2017
Nazr Mohammed,39,2017
Primož Brezec,37,2017
Steve Blake,37,2017
Martell Webster,30,2017
Robbie Hummel,28,2017
Boštjan Nachbar,37,2017
Metta World Peace,37,2017
David Lee,34,2017
Earl Barron,36,2017
Kendall Marshall,26,2017
Matt Barnes,37,2017
Carlos Boozer,36,2017
Caron Butler,37,2017
Stephon Marbury,40,2017
Tiago Splitter,33,2017
Mike Miller,38,2017
Nick Collison,37,2017
Boštjan Nachbar,37,2017
Jiří Welsch,38,2017
Nick Collison,37,2018
Mo Williams,35,2018
P. J. Hairston,25,2018
Roy Hibbert,31,2018
Manu Ginóbili,41,2018
David West,38,2018
Boris Diaw,36,2018
Mike Dunleavy Jr.,38,2018
Mirza Teletović,33,2018
Richard Jefferson,38,2018
Ronnie Price,35,2018
Al Jefferson,34,2018
Kris Humphries,34,2018
Gerald Henderson Jr.,31,2018
Channing Frye,36,2019
Dwyane Wade,37,2019
Dirk Nowitzki,40,2019
Tony Parker,37,2019
Darren Collison,31,2019
Gary Neal,34,2019
Zaza Pachulia,35,2019
Shaun Livingston,34,2019
Jason Terry,42,2019
Luol Deng,34,2019
José Calderón,38,2019
Zach Randolph,38,2019
Marcin Gortat,36,2019
Trevor Booker,32,2019
Jon Leuer,31,2019
Vince Carter,43,2019
Marvin Williams,34,2020
Leandro Barbosa,37,2020
Kevin Séraphin,30,2020
Corey Brewer,34,2020
Dorell Wright,34,2020
Aaron Brooks,35,2020
Andrew Bogut,36,2020
Evan Turner,32,2020
Lucas Nogueira,28,2020
Joakim Noah,36,2020
Thabo Sefolosha,36,2020
LaMarcus Aldridge,35,2020
