Date,Team,Relinquished,Notes,Notes2
1998-01-01,Celtics,Greg Minor,placed on IL with flu,flu
1998-01-01,Sonics,James Cotton,placed on IL with right knee patella tendinitis,right knee patella tendinitis
1998-01-02,Blazers,Dontonio Wingfield,placed on IR with left wrist tendinitis,left wrist tendinitis
1998-01-02,Bullets,Lorenzo Williams,placed on IL with flu / sore knees (P),flu / sore knees (P)
1998-01-02,Cavaliers,Mitchell Butler,placed on IL with herniated disc in neck,herniated disc in neck
1998-01-02,Mavericks,Chris Anstey,placed on IL with sprained left ankle,sprained left ankle
1998-01-02,Rockets,Joe Stephens,placed on IL with patella tendinitis,patella tendinitis
1998-01-06,Celtics,Tyus Edney,placed on IL with flu,flu
1998-01-07,Blazers,Brian Grant,placed on IR with left leg stress reaction,left leg stress reaction
1998-01-07,Warriors,Tyrone Bogues / Muggsy Bogues,placed in IR with small tear in right hamstring,placed in IR with small tear in right hamstring
1998-01-08,Nets,Yinka Dare,placed on IR with right ankle synovitis,right ankle synovitis
1998-01-09,Hawks,Ed Gray,placed on IL with sprained right foot,sprained right foot
1998-01-09,Hawks,Mookie Blaylock,placed on IR with reoccurring left groin strain,reoccurring left groin strain
1998-01-10,Bulls,Bill Wennington,placed on IL with elbow synovitis,elbow synovitis
1998-01-10,Celtics,Pervis Ellison,placed on IL with sprained right ankle,sprained right ankle
1998-01-10,Rockets,Clyde Drexler,placed on IL with sore right shoulder,sore right shoulder
1998-01-12,Raptors,Walt Williams,placed on IL with hyperextended left knee,hyperextended left knee
1998-01-13,76ers,Kebu Stewart,placed on IR with plantar fasciitis in right foot,plantar fasciitis in right foot
1998-01-13,Magic,Johnny Taylor,placed on IL with strained right shoulder,strained right shoulder
1998-01-13,Spurs,Malik Rose,placed on IL with left knee tendinitis,left knee tendinitis
1998-01-14,Hornets,Bobby Phills,placed on IR with pulled left groin,pulled left groin
1998-01-16,Bulls,Steve Kerr,placed on IR with fractured left clavicle (out 6-8 weeks),fractured left clavicle (out 6-8 weeks)
1998-01-16,Hawks,Randy Livingston,hamstring injury (DNP),hamstring injury (DNP)
1998-01-16,Hawks,Tyrone Corbin,sore lower back (DTD),sore lower back (DTD)
1998-01-16,Mavericks,Bubba Wells,placed on IL with sprained right big toe,sprained right big toe
1998-01-16,Pistons,Scot Pollard,placed on IL with strained right groin,strained right groin
1998-01-17,Sonics,Eric Snow,placed on IL with sprained right ankle,sprained right ankle
1998-01-18,Celtics,Roy Rogers,placed on IL with flu,flu
1998-01-19,Hornets,Dell Curry,placed on IL with strained right calf,strained right calf
